,name,description,short_name,id
655,Energía de ofertas de balance presentadas por el SEE para importación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE importación,688
656,Energía de ofertas de balance presentadas por el SEE para exportación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE exportación,689
657,Energía de ofertas de balance presentadas por Francia para importación activadas por el SEE,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Francia para importación activadas por el Sistema Eléctrico Español.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Francia importación,690
658,Energía de ofertas de balance presentadas por Portugal para importación activadas por el SEE,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Portugal para importación activadas por el Sistema Eléctrico Español.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Portugal importación,691
659,Energía de ofertas de balance presentadas por Francia para exportación activadas por el SEE,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Francia para exportación activadas por el Sistema Eléctrico Español.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Francia exportación,692
660,Energía de ofertas de balance presentadas por Portugal para exportación activadas por el SEE,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Portugal para exportación activadas por el Sistema Eléctrico Español.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Portugal exportación,693
661,Energía de ofertas de balance presentadas por el SEE para importación activadas por Francia,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación activadas por Francia.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE importación,694
662,Energía de ofertas de balance presentadas por el SEE para importación activadas por Portugal,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación activadas por Portugal.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE importación,695
663,Energía de ofertas de balance presentadas por el SEE para exportación activadas por Francia,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación activadas por Francia.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE exportación,696
664,Energía de ofertas de balance presentadas por el SEE para exportación activadas por Portugal,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación activadas por Portugal.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE exportación,697
681,Derechos de Cobro de las necesidades cubiertas de energías de balance RR,"El mecanismo de asignación de energías de balance RR es un servicio que tiene por objeto restablecer o mantener el nivel de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación secundaria y terciaria) requerido al objeto de prepararse para desequilibrios adicionales del sistema.

Este servicio se encuentra regulado en el P.O.-3.3.

En concreto este indicador se refiere a los derechos de cobro asociados al proceso de asignación de energías de balance RR.

Este indicador da continuidad al correspondiente del antiguo proceso de Gestión de desvíos generación-consumo.

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.",Energías de Balance RR,714
682,Obligaciones de Pago de las necesidades cubiertas de energías de balance RR,"El mecanismo de asignación de energías de balance RR es un servicio que tiene por objeto restablecer o mantener el nivel de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación secundaria y terciaria) requerido al objeto de prepararse para desequilibrios adicionales del sistema.

Este servicio se encuentra regulado en el P.O.-3.3.

En concreto este indicador se refiere a las obligaciones de pago asociadas al proceso de asignación de energías de balance RR.

Este indicador da continuidad al correspondiente del antiguo proceso de Gestión de desvíos generación-consumo.

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.",Energías de Balance RR,715
683,Derechos de Cobro del proceso de Regulación de Terciaria,"La regulación terciaria es un servicio complementario de oferta obligatoria, gestionado y retribuido por mecanismos de mercado. Tiene por objeto la restitución de la reserva de regulación secundaria que haya sido utilizada. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la valoración de las modificaciones programadas por regulación terciaria se realiza al precio marginal de las ofertas asignadas en cada periodo horario. 

Este servicio se encuentra regulado en el P.O.-7.3

En concreto este indicador se refiere a los derechos de cobro asociados al proceso de regulación terciaria.

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.",Regulación Terciaria,716
684,Obligaciones de Pago del proceso de Regulación de Terciaria,"La regulación terciaria es un servicio complementario de oferta obligatoria, gestionado y retribuido por mecanismos de mercado. Tiene por objeto la restitución de la reserva de regulación secundaria que haya sido utilizada. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la valoración de las modificaciones programadas por regulación terciaria se realiza al precio marginal de las ofertas asignadas en cada periodo horario. 

Este servicio se encuentra regulado en el P.O.-7.3

En concreto este indicador se refiere a las obligaciones de pago asociadas al proceso de regulación terciaria.

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.",Regulación Terciaria,717
699,Balance de desvíos medidos terciaria subir,"Los desvíos medidos son diferencia entre la energía programada y la energía medida. 

El precio de los desvíos se calcula de acuerdo a lo establecido en el P.O. 14.4.

En concreto este indicador se refiere a la componente de los desvios procedente de la energía de regulación de terciaria a bajar

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.

",Balance de desvíos medidos,732
716,Balance de desvíos medidos terciaria bajar,"Los desvíos medidos son diferencia entre la energía programada y la energía medida. 

El precio de los desvíos se calcula de acuerdo a lo establecido en el P.O. 14.4.

En concreto este indicador se refiere a la componente de los desvios procedente de la energía de regulación de terciaria a bajar.

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.

",Balance de desvíos medidos,749
729,Energía neta de balance,"Saldo de las energías procedentes de los mercados de ajuste de energías de balance RR, regulación terciaria y regulación secundaria. Se basa en los desvíos medidos y es utilizado para el cálculo del precio de los desvíos.

Los desvíos medidos son diferencia entre la energía programada y la energía medida. 

El precio de los desvíos se calcula de acuerdo a lo establecido en el P.O. 14.4

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.

",Energía neta,762
734,Exceso/déficit de desvíos medidos,"Saldo resultante de sumar las energías gestionadas finalmente en todos los servicios de ajuste del sistema con la energía utilizada en el cálculo del precio de los desvíos medidos. Dicha energía se calcula como el saldo total de la energía de balance RR, regulación terciaria y regulación secundaria para la hora de publicación del precio del desvío en tiempo real.

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.",Exceso/déficit de desvíos medidos,767
735,Ingreso/Coste unitario para la demanda por el excedente/déficit de los desvíos,"Es el resultado del dividir por la demanda el saldo resultante de sumar las energías gestionadas finalmente en todos los servicios de ajuste del sistema con la energía utilizada en el cálculo del precio de los desvíos medidos. Dicha energía se calcula como el saldo total de la energía de balance RR, regulación terciaria y regulación secundaria para la hora de publicación del precio del desvío en tiempo real.

Publicación: diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones.",Ingreso/Coste unitario para la demanda,768
943,Gastos mensuales de balance (GMB),"Importe mensual resultante de la liquidación de los mercados de banda de regulación secundaria, regulación terciaria, energías de balance RR y utilización de secundaria.

Publicación: mensualmente antes del día 28 a las 12:00 horas para el mes M-3.",Gastos mensuales de balance (GMB),1037
1034,Precio medio de ofertas de balance presentadas por el SEE para importación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE importación,1138
1035,Precio medio de ofertas de balance presentadas por el SEE para exportación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE exportación,1139
1036,Precio medio de ofertas de balance presentadas por Francia para importación activadas por el SEE,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Francia para importación activadas por el Sistema Eléctrico Español.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Francia importación,1140
1037,Precio medio de ofertas de balance presentadas por Portugal para importación activadas por el SEE,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Francia para importación activadas por el Sistema Eléctrico Español.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Portugal importación,1141
1038,Precio medio de ofertas de balance presentadas por Francia para exportación activadas por el SEE,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Francia para exportación activadas por el Sistema Eléctrico Español.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Francia exportación,1142
1039,Precio medio de ofertas de balance presentadas por Portugal para exportación activadas por el SEE,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Portugal para exportación activadas por el Sistema Eléctrico Español.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Portugal exportación,1143
1040,Precio medio de ofertas de balance presentadas por el SEE para importación activadas por Francia,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación activadas por Francia.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE importación,1144
1041,Precio medio de ofertas de balance presentadas por el SEE para importación activadas por Portugal,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para importación activadas por Portugal.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE importación,1145
1042,Precio medio de ofertas de balance presentadas por el SEE para exportación activadas por Francia,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación activadas por Francia.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE exportación,1146
1043,Precio medio de ofertas de balance presentadas por el SEE para exportación activadas por Portugal,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por el Sistema Eléctrico Español para exportación activadas por Portugal.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",SEE exportación,1147
1192,Energía de ofertas de balance presentadas por Francia para importación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Francia para importación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Francia importación,1298
1193,Energía de ofertas de balance presentadas por Francia para exportación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Francia para exportación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Francia exportación,1299
1194,Energía de ofertas de balance presentadas por Portugal para importación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Portugal para importación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Portugal importación,1300
1195,Energía de ofertas de balance presentadas por Portugal para exportación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere a la energía de las ofertas de balance presentadas por Portugal para exportación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Portugal exportación,1301
1196,Precio medio de ofertas de balance presentadas por Francia para importación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Francia para importación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Francia importación,1302
1197,Precio medio de ofertas de balance presentadas por Francia para exportación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Francia para exportación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Francia exportación,1303
1198,Precio medio de ofertas de balance presentadas por Portugal para importación,"Los mercados de balance transfronterizos son un mecanismo gestionado desde la plataforma BALIT para la mejora del uso de la capacidad de intercambio en las interconexiones FR-ES y PT-ES, así como la optimización de costes de asociados a  la regulación de terciaria y la gestión de desvíos.

En concreto este indicador se refiere al precio medio de las ofertas de balance presentadas por Portugal para importación.

Publicación: diariamente sobre las 5:00 horas con la información del día anterior.",Portugal importación,1304
